artifact,task,relation,dose,n_seeds,did_label_adjusted_minus_decoy_mean,did_label_adjusted_minus_decoy_boot_ci_low,did_label_adjusted_minus_decoy_boot_ci_high,equivalence_status_eps_0.01,equivalence_status_eps_0.02
phase0_tf_confirm_top_len158_extra,sider_gastro,tautomer,5,4,-0.0109824938195398,-0.0497127656140553,0.0145445062070172,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_mmp,random,5,4,-0.0114430702787723,-0.0598257318570263,0.0183281424686388,inconclusive,inconclusive
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,-0.0129659953478395,-0.0726317132501141,0.0409866988475441,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_are,random,1,4,-0.0158079893463854,-0.0532679536928944,0.0158192215528298,inconclusive,inconclusive
phase0_tf_aff128_probe,tox21_ahr,random,1,4,-0.0186036531120382,-0.0337278173839958,-0.0024619614165686,inconclusive,inconclusive
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,-0.019355366081207,-0.0733733935283046,0.0299154052076788,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_are,stereo,5,4,-0.0213621075180676,-0.091808215727656,0.0247936266226243,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,random,20,12,-0.0273525027356807,-0.0759480871269429,0.0166430304930063,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,bace,exact,20,4,-0.0330265640199077,-0.0677197022205142,-0.0023423938126471,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,tox21_mmp,stereo,20,4,-0.040154744085347,-0.1189944612660374,0.0302106239609216,inconclusive,inconclusive
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,20,4,-0.0455903358685994,-0.1118205973619484,0.0009655924019048,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,stereo,20,12,0.0035343630376303,-0.0305428714527874,0.0357472898780673,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,exact,20,12,-0.0082787481792994,-0.0456132242804073,0.0278595059724062,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,random,20,12,-0.0273525027356807,-0.0769688527948441,0.0159976080189595,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,24,0.0060926903134924,-0.0200019722276456,0.0337267758359044,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,24,0.0057069082191683,-0.0189575298814289,0.0287182821809579,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,0.0037543197330174,-0.0270878118643607,0.0357593716302612,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,exact,20,12,-0.0039075228776575,-0.0252690926518251,0.015425379493699,inconclusive,inconclusive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,stereo,20,12,-0.010698572204294,-0.0349345943364685,0.0106627477621248,inconclusive,inconclusive
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,0.018245946598267,-0.0034391666239199,0.0566569847376932,inconclusive,inconclusive
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,-0.001417049304394,-0.0074599358759457,0.0041556889263405,practical_equivalence,practical_equivalence
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,-0.0040938249320907,-0.0067377231621453,-0.0008674244753292,practical_equivalence,practical_equivalence
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,0.0028235565687557,-0.0559694508802078,0.0610039636776238,inconclusive,inconclusive
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,-0.0129659953478395,-0.0726317132501141,0.0409866988475441,inconclusive,inconclusive
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,-0.019355366081207,-0.0733733935283046,0.0299154052076788,inconclusive,inconclusive
