task,cells,fixed_effect_mean,fixed_effect_ci_low,fixed_effect_ci_high,cochran_q,i2
bace,2,-0.025007751273618116,-0.05540690072158319,0.005391398174346956,1.71019380411177,0.41527094906101947
bbbp,35,-0.003039680294216713,-0.00480516232897382,-0.001274198259459605,21.274973400756632,0.0
clintox_fda,2,-0.005804712043252405,-0.010231286028809027,-0.0013781380576957832,1.9239633431380034,0.4802395775540141
clintox_tox,1,0.0021189521902646,-0.01040310629101085,0.014641010671540049,0.0,0.0
hiv,4,0.005114545015927262,-0.013058340538561065,0.023287430570415588,0.34797743294452793,0.0
sider_gastro,3,-0.0012398277071068605,-0.01214341178261078,0.00966375636839706,1.6287859532500804,0.0
tox21_ahr,4,-0.00650808967815989,-0.018180053461797088,0.005163874105477307,5.266051680876782,0.4303132248218823
tox21_are,4,0.0023889044568390443,-0.015107301466833074,0.019885110380511162,2.6581424787905945,0.0
tox21_mmp,10,0.0022767500147348016,-0.005784999492295885,0.010338499521765488,5.154136277584973,0.0
