relation,cells,fixed_effect_mean,fixed_effect_ci_low,fixed_effect_ci_high,cochran_q,i2
exact,24,0.002253017412999179,-0.0028204323432512667,0.0073264671692496244,13.754937872675509,0.0
parent,6,0.004861033922046567,-0.007585648747384697,0.017307716591477833,5.980923420987265,0.16400869095651205
random,18,-0.0018133325233256616,-0.005412144040606007,0.0017854789939546836,15.02980490684514,0.0
stereo,16,-0.004272992190186865,-0.006119562559368105,-0.0024264218210056252,4.490267464495095,0.0
tautomer,1,-0.0109824938195398,-0.043111129730076046,0.021146142090996446,0.0,0.0
