pair_id,gold_relation,n_shared_assays,activity_label_agreement,median_abs_pchembl_diff
chembl_stereo_000264,stereo,2,1.0,0.7149999999999999
chembl_stereo_001223,stereo,0,,
chembl_stereo_000572,stereo,1,1.0,0.08000000000000007
chembl_stereo_000306,stereo,0,,
chembl_stereo_000351,stereo,0,,
chembl_stereo_000867,stereo,0,,
chembl_stereo_000101,stereo,0,,
chembl_stereo_001296,stereo,0,,
chembl_stereo_001962,stereo,0,,
chembl_stereo_000700,stereo,5,1.0,0.08000000000000007
chembl_stereo_000709,stereo,0,,
chembl_stereo_000106,stereo,0,,
chembl_stereo_001074,stereo,2,1.0,0.19499999999999984
chembl_stereo_000348,stereo,0,,
