artifact,task,relation,dose,n_seeds,did_label_adjusted_minus_decoy_mean,did_label_adjusted_minus_decoy_boot_ci_low,did_label_adjusted_minus_decoy_boot_ci_high,did_label_adjusted_minus_decoy_boot_positive_rate,linear_affected_coef_minus_decoy_mean,linear_affected_coef_minus_decoy_boot_ci_low,linear_affected_coef_minus_decoy_boot_ci_high,linear_affected_coef_minus_decoy_boot_positive_rate,linear_affected_coef_minus_decoy_support,label_adjusted_effect_ci,linear_adjusted_effect_ci,ci_positive
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,0.0037543197330174,-0.0265102462974619,0.0361271498657074,0.58225,0.0058642531905916,-0.016897550403252,0.0298585910223016,0.68325,unstable_or_null,"0.0038 [-0.0265, 0.0361]","0.0059 [-0.0169, 0.0299]",False
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,stereo,20,12,0.0035343630376303,-0.0287560409493269,0.0361429930009825,0.59025,0.0208576012766692,0.0036583836027743,0.0380051126016191,0.9905,ci_positive,"0.0035 [-0.0288, 0.0361]","0.0209 [0.0037, 0.0380]",True
phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,exact,20,12,0.0030572971157819,-0.0210220764481897,0.0246273290011031,0.624,0.0021529550578342,-0.0176749320891971,0.020151178743341,0.602,unstable_or_null,"0.0031 [-0.0210, 0.0246]","0.0022 [-0.0177, 0.0202]",False
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,0.0028235565687557,-0.0559694508802078,0.0610039636776238,0.555,0.0124629900173531,-0.001969757311223,0.0249676854675685,0.9625,directional_positive,"0.0028 [-0.0560, 0.0610]","0.0125 [-0.0020, 0.0250]",False
phase0_tf_confirm_top_len158_extra,clintox_tox,exact,1,4,0.0021189521902646,-0.0105271171403182,0.0145169998222327,0.64275,0.0009870031719091,-0.0044489126910864,0.0055794228689946,0.637,unstable_or_null,"0.0021 [-0.0105, 0.0145]","0.0010 [-0.0044, 0.0056]",False
phase0_tf_confirm_top_len158_extra,hiv,random,20,4,0.0013814228739406,-0.0243349474887153,0.0303777254922156,0.54525,0.0050637431230745,-0.0228147202993386,0.0299676585153368,0.647,unstable_or_null,"0.0014 [-0.0243, 0.0304]","0.0051 [-0.0228, 0.0300]",False
phase0_tf_confirm_top_len158_extra,tox21_mmp,exact,1,12,0.0003900039375287,-0.0289515852674662,0.0272428185621346,0.525,0.0008437532657455,-0.0178630962187281,0.0181666469117143,0.53425,unstable_or_null,"0.0004 [-0.0290, 0.0272]","0.0008 [-0.0179, 0.0182]",False
phase0_tf_mmp_stereo_changed_aff128_d20,tox21_mmp,stereo,20,12,0.0001622873764525,-0.0206154588108801,0.0217167040979645,0.51475,-0.0010072581194668,-0.0233195673011087,0.0219373336947122,0.45,unstable_or_null,"0.0002 [-0.0206, 0.0217]","-0.0010 [-0.0233, 0.0219]",False
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,-0.001417049304394,-0.0075856033450146,0.0042015817288597,0.3305,-0.000209149095447,-0.0035686492615983,0.002842212414906,0.45475,unstable_or_null,"-0.0014 [-0.0076, 0.0042]","-0.0002 [-0.0036, 0.0028]",False
phase0_tf_mmp_aff128_isolated,tox21_mmp,exact,1,12,-0.0024709288570948,-0.0232714144139584,0.0196479322581678,0.41325,-0.0019638940428218,-0.017484767126856,0.0155717345676337,0.39125,unstable_or_null,"-0.0025 [-0.0233, 0.0196]","-0.0020 [-0.0175, 0.0156]",False
phase0_tf_aff128_probe,tox21_mmp,exact,1,12,-0.0029149147720902,-0.0250879892903027,0.017328041895949,0.3995,-0.0033236949461568,-0.0219715984469469,0.0129873377329561,0.36625,unstable_or_null,"-0.0029 [-0.0251, 0.0173]","-0.0033 [-0.0220, 0.0130]",False
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,exact,20,12,-0.0039075228776575,-0.0264378935886358,0.0155315294481203,0.37675,-0.0013653938836818,-0.0144535725504038,0.0097190539356376,0.4175,unstable_or_null,"-0.0039 [-0.0264, 0.0155]","-0.0014 [-0.0145, 0.0097]",False
phase0_gru_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,stereo,20,12,-0.0040938249320907,-0.0067620319700183,-0.0007578295237669,0.0105,-0.0025244614455145,-0.0060618043399827,0.0010778690737188,0.075,directional_negative,"-0.0041 [-0.0068, -0.0008]","-0.0025 [-0.0061, 0.0011]",False
phase0_tf_confirm_top_len158_extra,hiv,parent,5,4,-0.0052369227827165,-0.0634287142046744,0.0620949698705326,0.3755,-0.0086739988367778,-0.0558760346385853,0.0460248929133965,0.34775,unstable_or_null,"-0.0052 [-0.0634, 0.0621]","-0.0087 [-0.0559, 0.0460]",False
phase0_tf_confirm_top_len158_extra,bbbp,stereo,5,12,-0.0052764724864845,-0.021994305467677,0.0123178806113178,0.27075,-0.0018947097930813,-0.018262316899795,0.0167997658965906,0.41225,unstable_or_null,"-0.0053 [-0.0220, 0.0123]","-0.0019 [-0.0183, 0.0168]",False
phase0_tf_confirm_top_len158_extra,clintox_fda,stereo,1,4,-0.0055580547659432,-0.0099983291731428,-0.0011177803587437,0.0,-0.0037216062348143,-0.007631789858494,-0.0002113137580358,0.00425,directional_negative,"-0.0056 [-0.0100, -0.0011]","-0.0037 [-0.0076, -0.0002]",False
phase0_tf_confirm_top_len158_extra,bbbp,parent,5,4,-0.0068121219955911,-0.0363294713416985,0.0227052273505162,0.3205,-0.0053286664124069,-0.0312864693660331,0.0206291365412191,0.3225,unstable_or_null,"-0.0068 [-0.0363, 0.0227]","-0.0053 [-0.0313, 0.0206]",False
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,exact,20,12,-0.0082787481792994,-0.0451905849979855,0.0274759866771492,0.33425,0.0234262655235065,-0.009175753167727,0.0554074659719454,0.92275,directional_positive,"-0.0083 [-0.0452, 0.0275]","0.0234 [-0.0092, 0.0554]",False
phase0_tf_confirm_top_len158_extra,sider_gastro,random,1,12,-0.0095301240554977,-0.0339812881981577,0.0069977224244503,0.1895,-0.0123946772199641,-0.0372031436301189,0.0039496007403574,0.11975,directional_negative,"-0.0095 [-0.0340, 0.0070]","-0.0124 [-0.0372, 0.0039]",False
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain02,bbbp,stereo,20,12,-0.010698572204294,-0.0341145130010295,0.0118076557096038,0.18525,-0.0131465225060821,-0.0292933217235174,-0.0005273318677704,0.019,directional_negative,"-0.0107 [-0.0341, 0.0118]","-0.0131 [-0.0293, -0.0005]",False
phase0_tf_confirm_top_len158_extra,sider_gastro,tautomer,5,4,-0.0109824938195398,-0.0497127656140553,0.0145445062070172,0.3145,-0.0080019121666968,-0.0407837985469454,0.0148456813076614,0.31775,unstable_or_null,"-0.0110 [-0.0497, 0.0145]","-0.0080 [-0.0408, 0.0148]",False
phase0_tf_confirm_top_len158_extra,tox21_mmp,random,5,4,-0.0114430702787723,-0.0598257318570263,0.0183281424686388,0.3155,0.0046533244308674,-0.0038562779216033,0.0131629267833383,0.86,directional_positive,"-0.0114 [-0.0598, 0.0183]","0.0047 [-0.0039, 0.0132]",False
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,random,20,12,-0.0129659953478395,-0.0726317132501141,0.0409866988475441,0.33075,0.000384487967844,-0.0177818416468242,0.0165649503035959,0.5305,unstable_or_null,"-0.0130 [-0.0726, 0.0410]","0.0004 [-0.0178, 0.0166]",False
phase0_tf_confirm_top_len158_extra,tox21_are,random,1,4,-0.0158079893463854,-0.0532679536928944,0.0158192215528298,0.26875,-0.000999700720177,-0.0171820671730316,0.0151826657326775,0.4455,unstable_or_null,"-0.0158 [-0.0533, 0.0158]","-0.0010 [-0.0172, 0.0152]",False
phase0_tf_aff128_probe,tox21_ahr,random,1,4,-0.0186036531120382,-0.0337278173839958,-0.0024619614165686,0.00425,-0.0104879791596813,-0.0254187510716666,0.0019064162761626,0.036,directional_negative,"-0.0186 [-0.0337, -0.0025]","-0.0105 [-0.0254, 0.0019]",False
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact,20,12,-0.019355366081207,-0.0733733935283046,0.0299154052076788,0.22825,-0.0008095885808087,-0.0206853501364285,0.0193474486143736,0.47175,unstable_or_null,"-0.0194 [-0.0734, 0.0299]","-0.0008 [-0.0207, 0.0193]",False
phase0_tf_confirm_top_len158_extra,tox21_are,stereo,5,4,-0.0213621075180676,-0.091808215727656,0.0247936266226243,0.301,-0.0352554669531757,-0.0943499371959322,-0.0020017451695946,0.0,directional_negative,"-0.0214 [-0.0918, 0.0248]","-0.0353 [-0.0943, -0.0020]",False
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,random,20,12,-0.0273525027356807,-0.0759480871269429,0.0166430304930063,0.1195,-0.0054625047119764,-0.0397033349448558,0.0218640164367731,0.40025,unstable_or_null,"-0.0274 [-0.0759, 0.0166]","-0.0055 [-0.0397, 0.0219]",False
phase0_tf_confirm_top_len158_extra,bace,exact,20,4,-0.0330265640199077,-0.0677197022205142,-0.0023423938126471,0.004,-0.0017789077982711,-0.037743640247485,0.035341495470012,0.3505,unstable_or_null,"-0.0330 [-0.0677, -0.0023]","-0.0018 [-0.0377, 0.0353]",False
phase0_tf_confirm_top_len158_extra,tox21_mmp,stereo,20,4,-0.040154744085347,-0.1189944612660374,0.0302106239609216,0.15525,-0.012872624435389,-0.0514656578110828,0.0309269653149684,0.2535,unstable_or_null,"-0.0402 [-0.1190, 0.0302]","-0.0129 [-0.0515, 0.0309]",False
phase0_tf_confirm_top_len158_extra,clintox_fda,parent,20,4,-0.0455903358685994,-0.1118205973619484,0.0009655924019048,0.05475,-0.0366160660751166,-0.1010509648665262,0.0027168052364265,0.05575,directional_negative,"-0.0456 [-0.1118, 0.0010]","-0.0366 [-0.1011, 0.0027]",False
