audit,injection_relation,dose,detector,tasks,clean_hit_rate,injection_recall,incremental_hit_rate,changed_queries,changed_only_recall
confirm_top,tautomer,20,raw,9,0.0,0.3819444444444444,0.3819444444444444,108,0.0
confirm_top,tautomer,20,tautomer,9,0.0277777777777777,1.0,0.9722222222222222,108,1.0
mmp_stereo_changed_aff128_d20,decoy,20,canonical,1,0.0,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,decoy,20,parent,1,0.1875,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,decoy,20,raw,1,0.0,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,decoy,20,stereo,1,0.4140625,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,decoy,20,tautomer,1,0.078125,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,exact,20,canonical,1,0.0,1.0,1.0,0,
mmp_stereo_changed_aff128_d20,exact,20,raw,1,0.0,0.859375,0.859375,0,
mmp_stereo_changed_aff128_d20,stereo,20,canonical,1,0.0,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,stereo,20,raw,1,0.0,0.0,0.0,128,0.0
mmp_stereo_changed_aff128_d20,stereo,20,stereo,1,0.4140625,1.0,0.5859375,128,1.0
