artifact,task,injection_relation,dose,repeat_seed,n_queries,changed_queries,changed_only_recall,clean_background_hit_rate,decoy_false_positive_proxy,background_and_decoy_adjusted_changed_recall
phase0_tf_confirm_top_len158_extra,tox21_are,stereo,20,103,64,18,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,stereo,20,103,64,19,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,bace,tautomer,1,103,64,10,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,103,64,18,1.0,0.015625,0.0,0.984375
phase0_tf_confirm_top_len158_extra,clintox_fda,tautomer,1,103,64,19,1.0,0.046875,0.0,0.953125
phase0_tf_confirm_top_len158_extra,clintox_tox,tautomer,1,103,64,19,1.0,0.046875,0.0,0.953125
phase0_tf_confirm_top_len158_extra,hiv,tautomer,1,103,64,5,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,sider_gastro,tautomer,1,103,64,11,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,tox21_ahr,tautomer,1,103,64,11,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,tox21_are,tautomer,1,103,64,8,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,tautomer,1,103,64,7,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,bace,tautomer,5,103,64,10,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,103,64,18,1.0,0.015625,0.0,0.984375
phase0_tf_confirm_top_len158_extra,clintox_fda,tautomer,5,103,64,19,1.0,0.046875,0.0,0.953125
phase0_tf_confirm_top_len158_extra,clintox_tox,tautomer,5,103,64,19,1.0,0.046875,0.0,0.953125
phase0_tf_confirm_top_len158_extra,hiv,tautomer,5,103,64,5,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,sider_gastro,tautomer,5,103,64,11,1.0,0.0,0.0,1.0
phase0_tf_confirm_top_len158_extra,tox21_ahr,tautomer,5,103,64,11,1.0,0.0,0.0,1.0
