artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted,did_minus_decoy,did_label_adjusted_minus_decoy,linear_affected_coef_minus_decoy
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,307,204,82,122,0.0331206006883848,-0.03950223743488065,0.07262283812326545,0.43902439024390244,0.319672131147541,0.05667899776522022,-0.008020644161178375,-0.010171515334686361,2,0.10423966966679647,0.11860199224517709,0.051754399611395045
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,331,204,82,122,0.0011980277372569603,0.026121248078883674,-0.024923220341626712,0.5487804878048781,0.6475409836065574,0.0038144105337775125,0.016308166388854524,0.019423499091220958,2,-0.06771513712374581,-0.126445168219727,-0.038569803879756275
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,353,204,82,122,-0.1212550395781674,0.07308329049436772,-0.19433833007253512,0.24390243902439024,0.4098360655737705,-0.02858182512595342,-0.14541862606561723,-0.15866669042169676,2,0.01617244950405175,-0.02255158411188868,-0.01780931396239549
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,379,204,82,122,-0.11391915599020516,-0.03276953885911917,-0.08114961713108598,0.18292682926829268,0.19672131147540983,-0.03602323294486573,-0.08548333941417126,-0.09584217334444324,2,-0.03995928700353469,-0.017042801784955833,-0.011819169903104942
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,401,204,82,122,-0.061451345545853055,0.00397336318111811,-0.06542470872697116,0.24390243902439024,0.3114754098360656,-0.014669986659430034,-0.06412873084258347,-0.07021260765949919,2,-0.06478138033990283,0.09472720517039696,0.060348666093644754
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,421,204,82,122,-0.09121015399876166,0.01264552285009231,-0.10385567684885397,0.21951219512195122,0.2459016393442623,-0.003693027437051355,-0.14358208728789,-0.1583918094995284,2,0.07557113732590001,0.06663921585131685,0.04250170505404427
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,443,204,82,122,-0.0025873161034613004,0.049656703518550914,-0.052244019622012215,0.3780487804878049,0.6967213114754098,0.004771095037228709,-0.04361412530188108,-0.04297441545341986,2,-0.03459970272075042,-0.05009425055347134,0.008696881287713343
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,467,204,82,122,-0.02392037912476354,0.0014263108128406957,-0.025346689937604232,0.3170731707317073,0.45081967213114754,0.001326745458573586,-0.013675942012031086,-0.016143202280700458,2,0.01644687317773515,0.027454052826682895,0.015926229746687885
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,491,204,82,122,0.1362172034001205,0.013089133487617382,0.12312806991250312,0.7073170731707317,0.7868852459016393,0.09144685177559286,0.1067725350166184,0.11807278267985322,2,-0.12036765442311358,-0.07328037677659036,-0.053703247862076364
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,509,204,82,122,-0.051579286162627906,0.04965071630526763,-0.10123000246789554,0.17073170731707318,0.26229508196721313,-0.020828211234753147,-0.18139728765758492,-0.1954668505428501,2,-0.09584269675164403,-0.22764965834637108,-0.04420128975601628
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,541,204,82,122,-0.026994037646345975,7.255888376079372e-05,-0.02706659653010677,0.25609756097560976,0.5163934426229508,-0.0004587129948679103,-0.010500700644603587,-0.012261035928765573,2,-0.005035382978132559,-0.0013037902349158862,-0.006872781909197573
