relation,support,tp,fp,fn,precision,recall,f1,macro_f1_over_reported_relations
exact,1000,1000,0,0,1.0,1.0,1.0,0.8773573126519493
parent,3000,2976,5,24,0.9983227104998322,0.992,0.9951513124895502,0.8773573126519493
stereo,2000,1923,4,77,0.9979242345614946,0.9615,0.9793735676088619,0.8773573126519493
tautomer,1675,1530,6,145,0.99609375,0.9134328358208955,0.9529741513547183,0.8773573126519493
family,0,0,659,0,0.0,,,0.8773573126519493
none,1000,361,211,639,0.6311188811188811,0.361,0.4592875318066158,0.8773573126519493
