artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,307,204,82,122,0.053226152162362914,-0.02112592397959995,0.07435207614196286,0.7682926829268293,0.5409836065573771,0.034367385284530316,0.11147454701032262,0.12854195293677256,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,331,204,82,122,0.024949962341385645,0.001623002285534729,0.023326960055850915,0.5609756097560976,0.39344262295081966,-0.06297956442383251,-0.01194477197094645,-0.0017783746157764985,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,353,204,82,122,-0.020646204808499775,0.06127930098961367,-0.08192550579811345,0.4024390243902439,0.7704918032786885,0.04412626164560007,0.13286095219099836,0.15070320533047227,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,379,204,82,122,-0.04379309833095205,0.04084583148207577,-0.08463892981302781,0.23170731707317074,0.39344262295081966,-0.003238942663394251,0.038965827921895534,0.05192295653785449,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,401,204,82,122,0.01051719641176666,0.004947113911392261,0.0055700825003743995,0.6463414634146342,0.5491803278688525,-0.09720370578271853,-0.05724057087472366,-0.04926535012696265,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,421,204,82,122,0.007081316897600157,0.00780467289026643,-0.0007233559926662731,0.7926829268292683,0.5819672131147541,-0.06752197301847362,-0.14669715339993866,-0.16328157401991253,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,443,204,82,122,-0.01523126929816677,0.001213593179451636,-0.016444862477618404,0.4024390243902439,0.4262295081967213,-0.004554293055099565,-0.016721699420219525,-0.020545951805631492,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,467,204,82,122,-0.044903060421347625,-0.022103045471623294,-0.02280001494972433,0.23170731707317074,0.1885245901639344,-0.01500135962929755,-0.01642133240950766,-0.018396757423131255,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,491,204,82,122,-0.00382678197106211,0.028400840298807028,-0.03222762226986914,0.6707317073170732,0.8278688524590164,-0.055615136506384694,-0.009259682090186174,0.0005485561117733392,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain25,bbbp,decoy_20x,decoy,20,509,204,82,122,0.043065072468868114,0.015401155962685096,0.027663916506183016,0.8170731707317073,0.7213114754098361,0.05766390610494335,0.0965885123040414,0.10525098658099954,2
