analysis,n_cells,n_endpoint_clusters,point,boot_mean,ci_low,ci_high,positive_probability,positive_cell_fraction_point,positive_cell_fraction_ci_low,positive_cell_fraction_ci_high
all_51_reported_cells,51,9,-0.00042406637654272296,-0.0013129215682144719,-0.013987226042896834,0.00892593771210611,0.425,0.5490196078431373,0.3,0.6744331395348837
primary_protocol_23_cells,23,9,-0.004534369040650953,-0.0053458705210467,-0.023027393640858086,0.011490984776129561,0.2635,0.4782608695652174,0.2,0.7307692307692307
changed_only_primary_protocol_non_exact,9,6,-0.035299579151578414,-0.03490381478423852,-0.11507738064374702,0.03121495461199418,0.1525,0.2222222222222222,0.0,0.7777777777777778
changed_only_all_non_exact,18,6,-0.012769560896832224,-0.015832280945001307,-0.07683159977552477,0.02269294961823518,0.24425,0.5,0.1111111111111111,0.7142857142857143
changed_only_parent,6,4,-0.03167161290395381,-0.03542982283613564,-0.1530921172686361,0.04294194116479085,0.2225,0.5,0.0,0.8333333333333334
changed_only_stereo,11,4,-0.008793901310276046,-0.011748589187267225,-0.07113484389841633,0.02057328813694207,0.2855,0.45454545454545453,0.0,0.8
changed_only_tautomer,1,1,0.05691049569377935,0.05780700507173084,-0.010277778196083137,0.194701170849153,0.901,1.0,0.0,1.0
