artifact,task,detector,detector_family,n_queries,n_clean_scanned,clean_background_hit_rate,mean_clean_match_score,max_clean_match_score
phase0_tf_confirm_top_len158_extra,tox21_ahr,ecfp70,ecfp_similarity,64,5000,0.015625,0.4342548179086131,0.7407407407407407
phase0_tf_confirm_top_len158_extra,tox21_ahr,ecfp80,ecfp_similarity,64,5000,0.0,0.4342548179086131,0.7407407407407407
phase0_tf_confirm_top_len158_extra,tox21_ahr,ecfp90,ecfp_similarity,64,5000,0.0,0.4342548179086131,0.7407407407407407
phase0_tf_confirm_top_len158_extra,tox21_ahr,parent,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,tox21_ahr,raw,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_ahr,scaffold,scaffold,64,5000,0.421875,1.453125,6.0
phase0_tf_confirm_top_len158_extra,tox21_ahr,stereo,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_ahr,tautomer,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_are,canonical,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_are,ecfp70,ecfp_similarity,64,5000,0.03125,0.4193491154665844,0.7407407407407407
phase0_tf_confirm_top_len158_extra,tox21_are,ecfp80,ecfp_similarity,64,5000,0.0,0.4193491154665844,0.7407407407407407
phase0_tf_confirm_top_len158_extra,tox21_are,ecfp90,ecfp_similarity,64,5000,0.0,0.4193491154665844,0.7407407407407407
phase0_tf_confirm_top_len158_extra,tox21_are,parent,semantic_lattice,64,5000,0.03125,0.03125,1.0
phase0_tf_confirm_top_len158_extra,tox21_are,raw,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_are,scaffold,scaffold,64,5000,0.328125,0.953125,6.0
phase0_tf_confirm_top_len158_extra,tox21_are,stereo,semantic_lattice,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_are,tautomer,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,canonical,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,ecfp70,ecfp_similarity,64,5000,0.0625,0.4445782776782695,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,ecfp80,ecfp_similarity,64,5000,0.046875,0.4445782776782695,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,ecfp90,ecfp_similarity,64,5000,0.015625,0.4445782776782695,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,parent,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,raw,exact_identity,64,5000,0.0,0.0,0.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,scaffold,scaffold,64,5000,0.453125,1.140625,6.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,stereo,semantic_lattice,64,5000,0.015625,0.015625,1.0
phase0_tf_confirm_top_len158_extra,tox21_mmp,tautomer,semantic_lattice,64,5000,0.015625,0.015625,1.0
