injection_relation,dose,detector,detector_family,rows,mean_clean_background_hit_rate,mean_injection_recall,mean_changed_only_recall,mean_decoy_fp_proxy,mean_net_recall_over_decoy,mean_net_changed_recall_over_decoy
parent,1,ecfp90,ecfp_similarity,9,0.005208333333333333,0.7569444444444444,0.15634598012646791,0.0,0.7569444444444444,0.15634598012646791
parent,1,canonical,exact_identity,9,0.0,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,1,raw,exact_identity,9,0.0,0.4097222222222222,0.0,0.0,0.4097222222222222,0.0
parent,1,stereo,semantic_lattice,9,0.005208333333333333,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,1,tautomer,semantic_lattice,9,0.003472222222222222,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,5,parent,semantic_lattice,9,0.015625,1.0,1.0,0.0,1.0,1.0
parent,5,ecfp70,ecfp_similarity,9,0.05555555555555555,0.9375,0.8709510904632856,0.0,0.9375,0.8709510904632856
parent,5,scaffold,scaffold,9,0.2899305555555556,0.8784722222222222,0.7773002968124919,0.0,0.8784722222222222,0.7773002968124919
parent,5,ecfp80,ecfp_similarity,9,0.026041666666666668,0.84375,0.6959833526906698,0.0,0.84375,0.6959833526906698
parent,5,ecfp90,ecfp_similarity,9,0.005208333333333333,0.7569444444444444,0.15634598012646791,0.0,0.7569444444444444,0.15634598012646791
parent,5,canonical,exact_identity,9,0.0,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,5,raw,exact_identity,9,0.0,0.4097222222222222,0.0,0.0,0.4097222222222222,0.0
parent,5,stereo,semantic_lattice,9,0.005208333333333333,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,5,tautomer,semantic_lattice,9,0.003472222222222222,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,20,parent,semantic_lattice,9,0.015625,1.0,1.0,0.0,1.0,1.0
parent,20,ecfp70,ecfp_similarity,9,0.05555555555555555,0.9375,0.8709510904632856,0.0,0.9375,0.8709510904632856
parent,20,scaffold,scaffold,9,0.2899305555555556,0.8784722222222222,0.7773002968124919,0.001736111111111111,0.8767361111111112,0.7755641857013809
parent,20,ecfp80,ecfp_similarity,9,0.026041666666666668,0.84375,0.6959833526906698,0.0,0.84375,0.6959833526906698
parent,20,ecfp90,ecfp_similarity,9,0.005208333333333333,0.7569444444444444,0.15634598012646791,0.0,0.7569444444444444,0.15634598012646791
parent,20,canonical,exact_identity,9,0.0,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,20,raw,exact_identity,9,0.0,0.4097222222222222,0.0,0.0,0.4097222222222222,0.0
parent,20,stereo,semantic_lattice,9,0.005208333333333333,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
parent,20,tautomer,semantic_lattice,9,0.003472222222222222,0.7378472222222222,0.0,0.0,0.7378472222222222,0.0
random,1,canonical,exact_identity,9,0.0,1.0,,0.0,1.0,
random,1,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,,0.0,1.0,
random,1,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,,0.0,1.0,
random,1,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,,0.0,1.0,
random,1,parent,semantic_lattice,9,0.015625,1.0,,0.0,1.0,
random,1,raw,exact_identity,9,0.0,0.003472222222222222,,0.0,0.003472222222222222,
random,1,scaffold,scaffold,9,0.2899305555555556,1.0,,0.0,1.0,
random,1,stereo,semantic_lattice,9,0.005208333333333333,1.0,,0.0,1.0,
random,1,tautomer,semantic_lattice,9,0.003472222222222222,1.0,,0.0,1.0,
random,5,canonical,exact_identity,9,0.0,1.0,,0.0,1.0,
random,5,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,,0.0,1.0,
random,5,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,,0.0,1.0,
random,5,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,,0.0,1.0,
random,5,parent,semantic_lattice,9,0.015625,1.0,,0.0,1.0,
random,5,raw,exact_identity,9,0.0,0.010416666666666666,,0.0,0.010416666666666666,
random,5,scaffold,scaffold,9,0.2899305555555556,1.0,,0.0,1.0,
random,5,stereo,semantic_lattice,9,0.005208333333333333,1.0,,0.0,1.0,
random,5,tautomer,semantic_lattice,9,0.003472222222222222,1.0,,0.0,1.0,
random,20,canonical,exact_identity,9,0.0,1.0,,0.0,1.0,
random,20,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,,0.0,1.0,
random,20,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,,0.0,1.0,
random,20,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,,0.0,1.0,
random,20,parent,semantic_lattice,9,0.015625,1.0,,0.0,1.0,
random,20,raw,exact_identity,9,0.0,0.04513888888888889,,0.0,0.04513888888888889,
random,20,scaffold,scaffold,9,0.2899305555555556,1.0,,0.001736111111111111,0.9982638888888888,
random,20,stereo,semantic_lattice,9,0.005208333333333333,1.0,,0.0,1.0,
random,20,tautomer,semantic_lattice,9,0.003472222222222222,1.0,,0.0,1.0,
stereo,1,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,1.0,0.0,1.0,1.0
stereo,1,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,1.0,0.0,1.0,1.0
stereo,1,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,1.0,0.0,1.0,1.0
stereo,1,scaffold,scaffold,9,0.2899305555555556,1.0,1.0,0.0,1.0,1.0
stereo,1,stereo,semantic_lattice,9,0.005208333333333333,1.0,1.0,0.0,1.0,1.0
stereo,1,tautomer,semantic_lattice,9,0.003472222222222222,0.7291666666666666,0.10159300485126911,0.0,0.7291666666666666,0.10159300485126911
stereo,1,parent,semantic_lattice,9,0.015625,0.7013888888888888,0.004032258064516129,0.0,0.7013888888888888,0.004032258064516129
stereo,1,canonical,exact_identity,9,0.0,0.6996527777777778,0.0,0.0,0.6996527777777778,0.0
stereo,1,raw,exact_identity,9,0.0,0.3506944444444444,0.0,0.0,0.3506944444444444,0.0
stereo,5,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,1.0,0.0,1.0,1.0
stereo,5,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,1.0,0.0,1.0,1.0
stereo,5,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,1.0,0.0,1.0,1.0
stereo,5,scaffold,scaffold,9,0.2899305555555556,1.0,1.0,0.0,1.0,1.0
stereo,5,stereo,semantic_lattice,9,0.005208333333333333,1.0,1.0,0.0,1.0,1.0
stereo,5,tautomer,semantic_lattice,9,0.003472222222222222,0.7291666666666666,0.10159300485126911,0.0,0.7291666666666666,0.10159300485126911
stereo,5,parent,semantic_lattice,9,0.015625,0.7013888888888888,0.004032258064516129,0.0,0.7013888888888888,0.004032258064516129
stereo,5,canonical,exact_identity,9,0.0,0.6996527777777778,0.0,0.0,0.6996527777777778,0.0
stereo,5,raw,exact_identity,9,0.0,0.3506944444444444,0.0,0.0,0.3506944444444444,0.0
stereo,20,ecfp70,ecfp_similarity,9,0.05555555555555555,1.0,1.0,0.0,1.0,1.0
stereo,20,ecfp80,ecfp_similarity,9,0.026041666666666668,1.0,1.0,0.0,1.0,1.0
stereo,20,ecfp90,ecfp_similarity,9,0.005208333333333333,1.0,1.0,0.0,1.0,1.0
stereo,20,stereo,semantic_lattice,9,0.005208333333333333,1.0,1.0,0.0,1.0,1.0
stereo,20,scaffold,scaffold,9,0.2899305555555556,1.0,1.0,0.001736111111111111,0.9982638888888888,0.998046875
stereo,20,tautomer,semantic_lattice,9,0.003472222222222222,0.7291666666666666,0.10159300485126911,0.0,0.7291666666666666,0.10159300485126911
stereo,20,parent,semantic_lattice,9,0.015625,0.7013888888888888,0.004032258064516129,0.0,0.7013888888888888,0.004032258064516129
