artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,307,204,82,122,-0.0021853901264144177,-0.008555837830559155,0.006370447704144737,0.5,0.3524590163934426,-0.001559345438586185,-0.02461179336484767,-0.031085596577150723,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,331,204,82,122,-0.031136896006944685,-0.01020786960105427,-0.020929026405890415,0.3902439024390244,0.27049180327868855,-0.013125859443815668,-0.05220916138993576,-0.062274287143732864,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,353,204,82,122,-0.09385987607444206,0.00936094305065812,-0.10322081912510017,0.3780487804878049,0.7540983606557377,-0.004211793250246787,-0.009458027099977126,-0.009854120901502799,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,379,204,82,122,3.1216115486388643e-06,-0.005650453635903663,0.005653575247452302,0.524390243902439,0.18032786885245902,-0.004091557870726521,-0.002705854338270919,-0.0022744848799451317,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,401,204,82,122,-0.008412035136688043,0.014797301520211779,-0.023209336656899823,0.524390243902439,0.680327868852459,-0.05954307599083353,-0.014599144623627915,-0.0037290137640749385,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,421,204,82,122,-0.11481660277378268,-0.0705624085652535,-0.04425419420852918,0.2073170731707317,0.1557377049180328,-0.0039023708175291993,0.027714792281769204,0.030639710645424017,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,443,204,82,122,0.07691240546906866,0.013436730767859777,0.06347567470120888,0.5487804878048781,0.7786885245901639,-0.02297460805928997,0.06923967866393613,0.09081565784262469,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,467,204,82,122,-0.0019818723383473267,-0.04012864808261882,0.03814677574427149,0.3780487804878049,0.26229508196721313,0.029903223278777036,0.05749042565966707,0.052979970243948814,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,491,204,82,122,-0.0488293367642455,-0.07765681519493704,0.02882747843069154,0.2926829268292683,0.18032786885245902,-0.009594096291358212,-0.029415617085695938,-0.039683860421451264,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,509,204,82,122,-0.0038101044369906844,0.003098606422054966,-0.006908710859045651,0.5609756097560976,0.45081967213114754,-0.04023297357121368,-0.04549141313071197,-0.04646871221856143,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,541,204,82,122,0.043619352142985277,-0.0065825195586095165,0.05020187170159479,0.6951219512195121,0.4180327868852459,0.015634567602047858,0.006845551463778786,0.004723644650783046,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,563,204,82,122,0.1336910061356498,0.037033463431308505,0.09665754270434129,0.7317073170731707,0.7786885245901639,0.055765897750989724,0.07549596113976743,0.0786783240062019,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,601,204,82,122,-0.02488914241151112,0.022570755515919364,-0.04745989792743048,0.5365853658536586,0.8934426229508197,0.009237662736673674,0.01486547895640421,0.01650247862865096,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,631,204,82,122,-0.05056610371826625,-0.0009291565167855071,-0.04963694720148075,0.2804878048780488,0.3360655737704918,-0.03692632952529838,-0.10213219265626293,-0.11326757158792712,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,653,204,82,122,-0.0007437338552823951,-0.010687247285100277,0.009943513429817882,0.524390243902439,0.5409836065573771,0.015781774505874518,0.007990958935912222,0.006470291580727197,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,677,204,82,122,0.09068591315753577,0.026460861726129655,0.06422505143140611,0.6829268292682927,0.7540983606557377,0.06359888830708321,0.10574348884822588,0.11539120484405879,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,701,204,82,122,0.0549694018256737,-0.01191285785409759,0.0668822596797713,0.7926829268292683,0.7049180327868853,0.04894650162284982,0.03830137074644852,0.039071131783171203,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,733,204,82,122,0.021503888570317407,0.010038660549115936,0.01146522802120147,0.5609756097560976,0.5573770491803278,-0.020450738672490205,-0.042856872979694705,-0.04756189069901104,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,757,204,82,122,0.0027056692576989936,0.009012555611915272,-0.006306886354216279,0.5487804878048781,0.8360655737704918,0.008441423575700178,0.017408972483538582,0.019327722933451558,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,787,204,82,122,0.027934270933633893,-0.010711684853571364,0.038645955787205255,0.6585365853658537,0.45901639344262296,0.06779853172863542,0.1064188047460193,0.11458829431376338,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,811,204,82,122,0.020733191995177334,0.019136610120290616,0.0015965818748867183,0.6219512195121951,0.4918032786885246,-0.02466149671232501,-0.013669852007673287,-0.017024355192971023,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,839,204,82,122,0.030681955287369285,-0.0001561703068799735,0.03083812559424926,0.5853658536585366,0.5081967213114754,-0.01820759751288137,-0.0042332338681341205,-0.0017885990836968985,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,863,204,82,122,-0.04266942274279711,-0.008901791738682116,-0.03376763100411499,0.3048780487804878,0.29508196721311475,-0.009079545962019153,-0.047295681939509185,-0.054908391847136605,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,887,204,82,122,-0.03236150300902564,0.017425500375569843,-0.049787003384595484,0.43902439024390244,0.5819672131147541,0.00575300689129063,-0.04044572154716681,-0.04827037714345473,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,307,204,82,122,0.0011776558509687082,0.0005786106234691191,0.000599045227499589,0.524390243902439,0.36065573770491804,-0.00883281599908441,-0.013920998873969673,-0.015588226470584726,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,331,204,82,122,-0.0004271150725643701,-0.01007129264171007,0.0096441775691457,0.5365853658536586,0.2459016393442623,0.002123284402033687,-0.013495885686506953,-0.017797463453152813,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,353,204,82,122,-0.04664460669566945,-0.009530925863712535,-0.037113680831956916,0.573170731707317,0.6065573770491803,-0.030207445562257938,0.01778839198261202,0.02744840908642536,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,379,204,82,122,0.016033321255590854,-0.008220187220417086,0.02425350847600794,0.573170731707317,0.18032786885245902,0.005733240447694788,0.01122291137224115,0.012131647826249968,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,401,204,82,122,0.008692037495898034,-0.005020802275689893,0.013712839771587926,0.6219512195121951,0.680327868852459,0.04091451063083359,0.1007566835331343,0.114778324071503,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,421,204,82,122,-0.08968205077619087,-0.06300928910858318,-0.026672761667607695,0.21951219512195122,0.14754098360655737,-0.01757260437277247,0.03540544889671816,0.043763180917173135,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,443,204,82,122,0.07582057830764026,-0.007999196526457053,0.08381977483409732,0.4634146341463415,0.22131147540983606,-0.02366343665662185,0.04505123897109399,0.06086859998422636,2
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,467,204,82,122,-0.025232993884057534,-0.023218134433397496,-0.002014859450660038,0.35365853658536583,0.27049180327868855,-0.05813971692627793,-0.034799728531208725,-0.039734742484774245,2
