artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted,did_minus_decoy,did_label_adjusted_minus_decoy,linear_affected_coef_minus_decoy
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,307,204,82,122,0.0011776558509687082,0.0005786106234691191,0.000599045227499589,0.524390243902439,0.36065573770491804,-0.00883281599908441,-0.013920998873969673,-0.015588226470584726,2,-0.005771402476645148,0.010690794490877996,-0.007273470560498225
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,331,204,82,122,-0.0004271150725643701,-0.01007129264171007,0.0096441775691457,0.5365853658536586,0.2459016393442623,0.002123284402033687,-0.013495885686506953,-0.017797463453152813,2,0.030573203975036115,0.03871327570342881,0.015249143845849356
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,353,204,82,122,-0.04664460669566945,-0.009530925863712535,-0.037113680831956916,0.573170731707317,0.6065573770491803,-0.030207445562257938,0.01778839198261202,0.02744840908642536,2,0.06610713829314326,0.027246419082589145,-0.02599565231201115
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,379,204,82,122,0.016033321255590854,-0.008220187220417086,0.02425350847600794,0.573170731707317,0.18032786885245902,0.005733240447694788,0.01122291137224115,0.012131647826249968,2,0.01859993322855564,0.013928765710512069,0.00982479831842131
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,401,204,82,122,0.008692037495898034,-0.005020802275689893,0.013712839771587926,0.6219512195121951,0.680327868852459,0.04091451063083359,0.1007566835331343,0.114778324071503,2,0.036922176428487746,0.11535582815676221,0.10045758662166712
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,421,204,82,122,-0.08968205077619087,-0.06300928910858318,-0.026672761667607695,0.21951219512195122,0.14754098360655737,-0.01757260437277247,0.03540544889671816,0.043763180917173135,2,0.017581432540921482,0.0076906566149489534,-0.013670233555243272
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,443,204,82,122,0.07582057830764026,-0.007999196526457053,0.08381977483409732,0.4634146341463415,0.22131147540983606,-0.02366343665662185,0.04505123897109399,0.06086859998422636,2,0.02034410013288844,-0.024188439692842137,-0.0006888285973318808
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,467,204,82,122,-0.025232993884057534,-0.023218134433397496,-0.002014859450660038,0.35365853658536583,0.27049180327868855,-0.05813971692627793,-0.034799728531208725,-0.039734742484774245,2,-0.04016163519493153,-0.0922901541908758,-0.08804294020505496
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,491,204,82,122,-0.06262453050329918,-0.061737957944879775,-0.0008865725584194031,0.2804878048780488,0.21311475409836064,-0.011700896125420468,-0.026575500493165708,-0.03556900027856626,2,-0.029714050989110945,0.00284011659253023,-0.0021067998340622562
phase0_tf_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,509,204,82,122,0.04073257240035186,0.013481861133067345,0.02725071126728451,0.4024390243902439,0.4180327868852459,0.06077362029183231,0.031447713605437244,0.025574710665851846,2,0.03415942212633016,0.07693912673614922,0.10100659386304599
