artifact,task,injection_relation,dose,repeat_seed,proposed_method,proposed_source_type,proposed_changed_only_recall,proposed_clean_background_hit_rate,proposed_net_changed_recall_over_decoy,proposed_background_decoy_adjusted,best_external_adjusted_method,best_external_adjusted_group,best_external_adjusted_source_type,best_external_adjusted_changed_only_recall,best_external_adjusted_clean_background_hit_rate,best_external_adjusted_score,proposed_gain_vs_best_external_adjusted,best_external_recall_method,best_external_recall_group,best_external_recall_score,proposed_gain_vs_best_external_recall
phase0_tf_confirm_top_len158_extra,bbbp,stereo,20,103,chemtrace_relation_lattice,self_rerun,1.0,0.015625,1.0,0.984375,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.015625,0.984375,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,stereo,20,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,stereo,20,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,stereo,20,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,1.0,0.0,1.0,0.0,inchikey_connectivity_identity,direct_mechanism,1.0,0.0
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.015625,0.8177083333333334,0.18229166666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,1,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,103,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.015625,0.8177083333333334,0.18229166666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,107,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,109,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,5,113,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.9444444444444444,0.05555555555555558
phase0_tf_confirm_top_len158_extra,bbbp,tautomer,20,101,chemtrace_relation_lattice,self_rerun,1.0,0.0,1.0,1.0,inchikey_connectivity_identity,direct_mechanism,self_rerun,0.8333333333333334,0.0,0.8333333333333334,0.16666666666666663,smiles_shingle_minhash,direct_mechanism,0.8975694444444444,0.10243055555555558
