scenario,method,method_group,source_type,is_proposed,relation_typed,certificate_ready,repeat_seeds,cells_per_repeat,changed_only_recall_mean_std,clean_background_hit_rate_mean_std,background_and_decoy_adjusted_mean_std,background_and_decoy_adjusted_mean
high_background_similarity_ge_0_70,chemical_science_audit_bundle,recent_same_task,adapted_rerun,False,False,False,5,27,0.9000 +/- 0.1374,0.5211 +/- 0.2544,0.3234 +/- 0.0911,0.3233650793650794
high_background_similarity_ge_0_70,tdc_polaris_curation_bundle,recent_same_task,adapted_rerun,False,False,False,5,27,0.8581 +/- 0.1210,0.5211 +/- 0.2544,0.2815 +/- 0.1229,0.28146031746031747
high_background_similarity_ge_0_70,smiles_shingle_minhash,direct_mechanism,adapted_rerun,False,False,False,5,27,0.9162 +/- 0.1268,0.7544 +/- 0.1350,0.1011 +/- 0.2740,0.10112169312169314
high_background_similarity_ge_0_70,canonical_smiles_identity,classic,self_rerun,False,False,False,5,27,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
high_background_similarity_ge_0_70,inchikey_full_identity,direct_mechanism,self_rerun,False,False,False,5,27,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
high_background_similarity_ge_0_70,raw_smiles_identity,classic,self_rerun,False,False,False,5,27,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
high_background_similarity_ge_0_70,datasail_similarity_cluster,recent_same_task,adapted_rerun,False,False,False,5,27,0.9000 +/- 0.1374,1.0000 +/- 0.0000,-0.1000 +/- 0.1374,-0.1
high_background_similarity_ge_0_70,lohi_high_similarity_split,recent_same_task,adapted_rerun,False,False,False,5,27,0.9000 +/- 0.1374,1.0000 +/- 0.0000,-0.3552 +/- 0.3665,-0.35523809523809524
long_tail_scaffold_count_le_1,chemtrace_relation_lattice,proposed,self_rerun,True,True,True,5,81,1.0000 +/- 0.0000,0.0033 +/- 0.0031,0.9965 +/- 0.0033,0.996535337709345
long_tail_scaffold_count_le_1,lohi_high_similarity_split,recent_same_task,adapted_rerun,False,False,False,5,81,0.9261 +/- 0.0007,0.0398 +/- 0.0227,0.8834 +/- 0.0217,0.8833986468229625
long_tail_scaffold_count_le_1,inchikey_connectivity_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.8283 +/- 0.0003,0.0117 +/- 0.0102,0.8162 +/- 0.0104,0.8161701374921583
long_tail_scaffold_count_le_1,chemical_science_audit_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.9332 +/- 0.0002,0.1275 +/- 0.0260,0.8031 +/- 0.0241,0.8031372149729737
long_tail_scaffold_count_le_1,tdc_polaris_curation_bundle,recent_same_task,adapted_rerun,False,False,False,5,81,0.8617 +/- 0.0011,0.1254 +/- 0.0280,0.7338 +/- 0.0264,0.7338310439131984
long_tail_scaffold_count_le_1,morgan_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.7387 +/- 0.0013,0.0070 +/- 0.0052,0.7314 +/- 0.0045,0.731439886373466
long_tail_scaffold_count_le_1,datasail_similarity_cluster,recent_same_task,adapted_rerun,False,False,False,5,81,0.8568 +/- 0.0015,0.1299 +/- 0.0307,0.7244 +/- 0.0293,0.7244380897347291
long_tail_scaffold_count_le_1,morgan_ecfp80,recent_same_task,self_rerun,False,False,False,5,81,0.7302 +/- 0.0012,0.0062 +/- 0.0048,0.7237 +/- 0.0041,0.7237466879976069
long_tail_scaffold_count_le_1,murcko_scaffold,recent_same_task,self_rerun,False,False,False,5,81,0.7928 +/- 0.0017,0.1207 +/- 0.0266,0.6698 +/- 0.0250,0.669832502724144
long_tail_scaffold_count_le_1,smiles_shingle_minhash,direct_mechanism,adapted_rerun,False,False,False,5,81,0.9012 +/- 0.0067,0.2536 +/- 0.0329,0.6286 +/- 0.0406,0.6286121834974904
long_tail_scaffold_count_le_1,inchikey_full_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.0990 +/- 0.0017,0.0039 +/- 0.0053,0.0950 +/- 0.0070,0.09502085364819288
long_tail_scaffold_count_le_1,canonical_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
long_tail_scaffold_count_le_1,raw_smiles_identity,classic,self_rerun,False,False,False,5,81,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0000 +/- 0.0000,0.0
ood_low_similarity_lt_0_70,chemtrace_relation_lattice,proposed,self_rerun,True,True,True,5,81,1.0000 +/- 0.0000,0.0021 +/- 0.0024,0.9978 +/- 0.0025,0.9977756330755737
ood_low_similarity_lt_0_70,lohi_high_similarity_split,recent_same_task,adapted_rerun,False,False,False,5,81,0.9279 +/- 0.0016,0.0290 +/- 0.0110,0.8994 +/- 0.0108,0.8994103254090297
ood_low_similarity_lt_0_70,inchikey_connectivity_identity,direct_mechanism,self_rerun,False,False,False,5,81,0.8274 +/- 0.0015,0.0061 +/- 0.0075,0.8211 +/- 0.0081,0.821054957358205
